date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/2021 0:00,-1.5,-5.2,3.5,,,,5.6,,1020.7,
1/2/2021 0:00,-2,-7.7,4.9,,,,10,,1017.5,
1/3/2021 0:00,1.1,-4.6,8.2,,,,15.1,,1014.7,
1/4/2021 0:00,3.1,-1.8,9.3,,,,8.8,,1019.2,
1/5/2021 0:00,1.9,-2.1,7.9,,,,15.1,,1014,
1/6/2021 0:00,-0.2,-4.9,5.2,,,,9.1,,1023.7,
1/7/2021 0:00,-0.6,-6.6,6.3,,,,7.4,,1021.5,
1/8/2021 0:00,-1,-5.9,5.1,,,,6.3,,1024.4,
1/9/2021 0:00,-2.8,-5.1,-0.4,,,,7.4,,1024.9,
1/10/2021 0:00,-2.9,-5.9,1.1,,,,4.8,,1027.7,
1/11/2021 0:00,-3.8,-10.5,4.3,,,,4.1,,1026,
1/12/2021 0:00,-1,-9.5,8.2,,,,7.4,,1023,
1/13/2021 0:00,5.3,-0.8,13.4,,,,20.1,,1014.9,
1/14/2021 0:00,1.1,-4.2,4.5,,,,29.8,,1022.1,
1/15/2021 0:00,-1.9,-8.2,4.6,,,,14.4,,1023.3,
1/16/2021 0:00,0.9,-3.5,6.6,,,,13.4,,1018.5,
1/17/2021 0:00,2.1,-2.3,7.4,,,,14.8,,1017.2,
1/18/2021 0:00,0.1,-3.3,3,,,,15.4,,1016.8,
1/19/2021 0:00,-2.1,-4.9,2.4,,,,7.2,,1028.9,
1/20/2021 0:00,1.1,-6.8,10.3,,,,13.9,,1018.2,
1/21/2021 0:00,2.2,-1.7,7.2,,,,9,,1014.5,
1/22/2021 0:00,0.4,-4.5,6,,,,9.2,,1013.5,
1/23/2021 0:00,-0.4,-5.4,5.3,,,,10.7,,1007.8,
1/24/2021 0:00,-2.2,-5.8,1.4,,,,9.1,,1010.4,
1/25/2021 0:00,-3.7,-6.5,0.5,,,,10.6,,1006,
1/26/2021 0:00,-6.5,-8.4,-5.1,,,,9.4,,1012.4,
1/27/2021 0:00,-5.7,-13.4,2.1,,,,9.9,,1021.5,
1/28/2021 0:00,0.9,-7.5,10.8,,,,8.6,,1019.7,
1/29/2021 0:00,5.8,-1.3,14.6,,,,12,,1008.3,
1/30/2021 0:00,4.1,1,8.8,,,,15.2,,1008.1,
1/31/2021 0:00,1.7,-4.1,8.9,,,,5.6,,1027,
2/1/2021 0:00,2.3,-5.3,10.6,,,,5.4,,1023.7,
2/2/2021 0:00,5.9,-1.6,15,,,,6.8,,1016.7,
2/3/2021 0:00,7,2.3,14,,,,17,,1006.6,
2/4/2021 0:00,0.3,-3.4,4.5,,,,22.7,,1013.2,
2/5/2021 0:00,-0.5,-3.9,3.9,,,,17.8,,1010.2,
2/6/2021 0:00,0.2,-3.1,4,,,,15.8,,1010.2,
2/7/2021 0:00,2.3,-3.2,9.7,,,,28.3,,1005,
2/8/2021 0:00,-1.2,-9,6.4,,,,22.6,,1008.4,
2/9/2021 0:00,-3,-8.7,3.2,,,,20.1,,1013.7,
2/10/2021 0:00,-3.7,-8.9,1.7,,,,16.1,,1015.2,
2/11/2021 0:00,-5,-10.4,1,,,,20.8,,1016.7,
2/12/2021 0:00,-8.5,-12.2,-6.1,,,,20.8,,1018.1,
2/13/2021 0:00,-12.2,-14.3,-9.5,,,,21.8,,1018.4,
2/14/2021 0:00,-14.3,-17.5,-10.1,,,,16.6,,1024.3,
2/15/2021 0:00,-13,-20.2,-6.4,,,,14.7,,1017.9,
2/16/2021 0:00,-4.7,-10.9,1.9,,,,10.7,,1004.2,
2/17/2021 0:00,-3.7,-7.1,-0.1,,,,9.6,,1012.8,
2/18/2021 0:00,-3.6,-7,1,,,,9.1,,1024.8,
2/19/2021 0:00,-0.8,-8.1,7.4,,,,15.4,,1020.5,
2/20/2021 0:00,1.9,-4.3,8.4,,,,13.3,,1011.9,
2/21/2021 0:00,0.6,-2.6,4.7,,,,15.7,,1018.7,
2/22/2021 0:00,3.7,-3.2,12,,,,18.9,,1019.7,
2/23/2021 0:00,5.9,0.2,13.7,,,,22.3,,1011.5,
2/24/2021 0:00,0.2,-3.6,4.2,,,,16.2,,1020.2,
2/25/2021 0:00,-1.9,-5.2,3.1,,,,9.9,,1024.1,
2/26/2021 0:00,-0.6,-8.2,6.1,,,,16.7,,1010.7,
2/27/2021 0:00,-1.7,-4,1.9,,,,14.9,,1008.8,
2/28/2021 0:00,-2.9,-6.7,1.9,,,,11,,1021.9,
3/1/2021 0:00,0.3,-7.5,9.1,,,,8,,1026.3,
3/2/2021 0:00,5.2,-3.5,14.7,,,,8,,1017.3,
3/3/2021 0:00,6.9,-0.4,15.7,,,,6.9,,1015,
3/4/2021 0:00,4.1,1.8,6.7,,,,13,,1015.9,
3/5/2021 0:00,6.8,0.7,14.6,,,,8,,1024.2,
3/6/2021 0:00,8.4,0.3,16.9,,,,10.3,,1017.2,
3/7/2021 0:00,10.6,3.7,18.9,,,,12.2,,1014.7,
3/8/2021 0:00,10.8,5.1,17.9,,,,10,,1013.8,
3/9/2021 0:00,10.6,4.7,17.8,,,,12.5,,1007.2,
3/10/2021 0:00,4.9,0,8.4,,,,15.8,,1007.2,
3/11/2021 0:00,1.9,-3.7,7.2,,,,9.4,,1017.5,
3/12/2021 0:00,2.6,-0.5,6.7,,,,11.6,,1021.1,
3/13/2021 0:00,0.8,-0.8,2.9,,,,18.9,,1017.8,
3/14/2021 0:00,-1.2,-2.9,1.5,,,,30.8,,1009.9,
3/15/2021 0:00,1.2,-4.3,8.3,,,,12.3,,1010.4,
3/16/2021 0:00,0.9,-3.1,4,,,,9.7,,1010.4,
3/17/2021 0:00,1.7,-1.8,5.5,,,,9.4,,1019,
3/18/2021 0:00,2.5,-4.7,9.7,,,,8.2,,1024.9,
3/19/2021 0:00,6.3,-0.9,15.1,,,,9.7,,1021.5,
3/20/2021 0:00,11.1,2.3,19.9,,,,18.5,,1010.6,
3/21/2021 0:00,5.8,0.1,9.4,,,,18,,1011.2,
3/22/2021 0:00,2.4,-1.7,6.1,,,,10.7,,1012.6,
3/23/2021 0:00,1.5,-1.3,5.5,,,,14.5,,1011.1,
3/24/2021 0:00,1.3,-1.5,3.9,,,,13.9,,1014.2,
3/25/2021 0:00,3.3,-2.5,8.5,,,,12.4,,1005.3,
3/26/2021 0:00,3.4,0.6,6.3,,,,10.2,,1008.4,
3/27/2021 0:00,4,-0.8,9.6,,,,13.3,,1020.6,
3/28/2021 0:00,7.4,-0.6,16,,,,15.7,,1021.8,
3/29/2021 0:00,10.9,5.2,19.3,,,,27.8,,1004.5,
3/30/2021 0:00,1.3,-1.4,5.3,,,,19.1,,1017.9,
3/31/2021 0:00,2.3,-4.6,9.6,,,,10.9,,1030.2,
4/1/2021 0:00,7.3,-2.1,16.6,,,,9,,1024,
4/2/2021 0:00,12.5,3.9,21.9,,,,9.9,,1015.5,
4/3/2021 0:00,14.4,5.9,23.1,,,,7.1,,1018.9,
4/4/2021 0:00,16.2,8.5,23.5,,,,8,,1014.8,
4/5/2021 0:00,17,9,23.9,,,,14.9,,1004.2,
4/6/2021 0:00,9.6,1.4,15.6,,,,19.4,,1003.5,
4/7/2021 0:00,7.5,1.4,14.2,,,,15.8,,1013.9,
4/8/2021 0:00,11.9,4.5,19.7,,,,17.1,,1007.3,
4/9/2021 0:00,7,3.8,10,,,,21.8,,1012,
4/10/2021 0:00,9.7,-0.4,19,,,,12.7,,1010.3,
4/11/2021 0:00,9.6,5.5,14.4,,,,19.4,,1006.3,
4/12/2021 0:00,4.6,0.1,8.8,,,,16.4,,1016.3,
4/13/2021 0:00,3.1,0.9,6.5,,,,18.5,,1020.8,
4/14/2021 0:00,3.8,-0.6,8.7,,,,21.1,,1018.6,
4/15/2021 0:00,2.7,-0.8,6.1,,,,20.8,,1013.8,
4/16/2021 0:00,1,-1.9,4,,,,15.8,,1020.9,
4/17/2021 0:00,2.1,-2.7,6,,,,10.3,,1024.7,
4/18/2021 0:00,5.4,-2.9,12.1,,,,10.1,,1020.9,
4/19/2021 0:00,3,-2.8,7.2,,,,20,,1016.2,
4/20/2021 0:00,-0.4,-5.7,5,,,,12,,1024.6,
4/21/2021 0:00,0.1,-3.6,3.7,,,,13.3,,1021.2,
4/22/2021 0:00,5.2,-1.3,10.9,,,,11.1,,1007.8,
4/23/2021 0:00,7.3,2.5,11.8,,,,9,,1008.5,
4/24/2021 0:00,10.1,1.7,18,,,,9.9,,1010.2,
4/25/2021 0:00,16.3,7.7,24.4,,,,16.9,,1001.5,
4/26/2021 0:00,17.5,10.1,24.9,,,,19.2,,997.4,
4/27/2021 0:00,10.2,6.3,13.7,,,,16.3,,1004.8,
4/28/2021 0:00,9,5.3,13.3,,,,12.8,,1015.6,
4/29/2021 0:00,12.7,4.9,19.7,,,,6.7,,1022.5,
4/30/2021 0:00,16.7,7.8,24.6,,,,10.1,,1020.2,
5/1/2021 0:00,19.8,10.7,28,,,,13.8,,1006.8,
5/2/2021 0:00,15,10,20,,,,17.7,,999.7,
5/3/2021 0:00,6.8,4.1,9,,,,18.9,,1012.5,
5/4/2021 0:00,8.4,2.2,13.2,,,,7.6,,1016.8,
5/5/2021 0:00,10.8,5.2,15.4,,,,11.9,,1019,
5/6/2021 0:00,13.6,5.4,21.2,,,,8.1,,1021.4,
5/7/2021 0:00,18.1,8.8,26.4,,,,13.2,,1010.3,
5/8/2021 0:00,16.1,11.2,21.7,,,,18.8,,1003.4,
5/9/2021 0:00,8.2,5.4,10.5,,,,15.7,,1014.9,
5/10/2021 0:00,4.9,3.2,6.3,,,,19,,1017.1,
5/11/2021 0:00,4.2,1.2,6.7,,,,14.1,,1021.7,
5/12/2021 0:00,8.6,0.8,16.5,,,,8.9,,1023,
5/13/2021 0:00,13.9,5.4,21.6,,,,9.9,,1018.2,
5/14/2021 0:00,15,9.4,20.6,,,,11.6,,1014.3,
5/15/2021 0:00,14.6,10.9,19.5,,,,12.8,,1011.6,
5/16/2021 0:00,14.1,11,18.4,,,,11.6,,1011.5,
5/17/2021 0:00,13.3,10.9,16.7,,,,13.4,,1011.9,
5/18/2021 0:00,12.9,9,16.2,,,,10.9,,1010,
5/19/2021 0:00,14.8,8,20.5,,,,11.5,,1007.8,
5/20/2021 0:00,18.3,11,25.9,,,,17.4,,1003.6,
5/21/2021 0:00,19.2,12.1,24.7,,,,24.3,,1005.4,
5/22/2021 0:00,16.8,12.3,22.2,,,,18.8,,1013.2,
5/23/2021 0:00,17,12.3,22.5,,,,21.5,,1009.8,
5/24/2021 0:00,15.3,7.1,22.3,,,,12.6,,1012.9,
5/25/2021 0:00,16.8,9,23.5,,,,11,,1014,
5/26/2021 0:00,17.8,11.1,23.8,,,,15.5,,1012.9,
5/27/2021 0:00,16.9,10.8,22.1,,,,11.4,,1014.7,
5/28/2021 0:00,17.8,9.4,24.9,,,,10.9,,1014.1,
5/29/2021 0:00,16.9,12.3,22.2,,,,14.1,,1012.5,
5/30/2021 0:00,12.8,10.3,15.5,,,,21.6,,1017.5,
5/31/2021 0:00,12.2,8.5,15.9,,,,11.6,,1021.5,
6/1/2021 0:00,14.1,7.9,19.6,,,,9,,1019.4,
6/2/2021 0:00,17,9.9,23.3,,,,8.4,,1015.3,
6/3/2021 0:00,19.6,11.4,26.8,,,,8.3,,1013.3,
6/4/2021 0:00,22.7,13.7,30.8,,,,9.5,,1010.6,
6/5/2021 0:00,23.6,15.3,31.4,,,,10.7,,1006.2,
6/6/2021 0:00,23.6,17.4,30.2,,,,13,,1004.4,
6/7/2021 0:00,23.8,15.1,31.2,,,,12.4,,1005.4,
6/8/2021 0:00,24.9,15.8,32.2,,,,15.7,,1006.4,
6/9/2021 0:00,24.6,15.9,31.5,,,,13,,1011.7,
6/10/2021 0:00,26.6,17.5,34.3,,,,20.2,,1006.6,
6/11/2021 0:00,22.2,16.4,27.4,,,,16.5,,1011.3,
6/12/2021 0:00,23.4,13.1,31.4,,,,13.3,,1013.2,
6/13/2021 0:00,25.4,17.5,32.1,,,,13.3,,1013.4,
6/14/2021 0:00,27,17.8,36,,,,12.1,,1013.7,
