date,tavg,tmin,tmax
2025-01-01 00:00:00,-3.5,-7.8,1.5
2025-01-02 00:00:00,0,-6.1,6.7
2025-01-03 00:00:00,0.6,-5.1,7.8
2025-01-04 00:00:00,-3.4,-6.8,-0.5
2025-01-05 00:00:00,-6.6,-9.3,-3.3
2025-01-06 00:00:00,-4.2,-8.3,0.5
2025-01-07 00:00:00,-5.9,-9.7,-3.9
2025-01-08 00:00:00,-6.1,-12.9,1.5
2025-01-09 00:00:00,-4.7,-8,-1.5
2025-01-10 00:00:00,-4,-10.1,1.8
2025-01-11 00:00:00,-1,-4.6,2.9
2025-01-12 00:00:00,-3.5,-5.9,0.8
2025-01-13 00:00:00,-5.1,-8.3,-0.4
2025-01-14 00:00:00,-5,-9.2,0.6
2025-01-15 00:00:00,-1.4,-7.6,5.6
2025-01-16 00:00:00,1.9,-4.6,10.4
2025-01-17 00:00:00,-0.4,-6.1,5
2025-01-18 00:00:00,-10.4,-15.8,-6.4
2025-01-19 00:00:00,-13.1,-17.9,-9.3
2025-01-20 00:00:00,-14.8,-18.5,-12.1
2025-01-21 00:00:00,-7.4,-19.8,3.1
2025-01-22 00:00:00,-5.4,-9,-2.9
2025-01-23 00:00:00,-6.6,-10.3,-1.7
2025-01-24 00:00:00,-1.5,-7.9,5.4
2025-01-25 00:00:00,-6.1,-8,-3
2025-01-26 00:00:00,-6.1,-9.2,-2.4
2025-01-27 00:00:00,-2.3,-10.1,5.3
2025-01-28 00:00:00,-0.1,-5.9,6
2025-01-29 00:00:00,0.5,-5.2,6.7
2025-01-30 00:00:00,1.9,-1.1,6.2
2025-01-31 00:00:00,3.2,-3.6,11.4
2025-02-01 00:00:00,4.5,-1.4,10.8
2025-02-02 00:00:00,7.9,0.9,15.3
2025-02-03 00:00:00,8.7,1.3,17.5
2025-02-04 00:00:00,0.7,-4.3,5.8
2025-02-05 00:00:00,4.8,-6.9,13.5
2025-02-06 00:00:00,3.1,-1.4,7.2
2025-02-07 00:00:00,5.2,-4.9,15.2
2025-02-08 00:00:00,-0.1,-2.2,2.9
2025-02-09 00:00:00,-1.4,-4.4,2.7
2025-02-10 00:00:00,-3.8,-7.3,1.2
2025-02-11 00:00:00,-9.1,-11.6,-7.4
2025-02-12 00:00:00,-12.7,-14.7,-10.6
2025-02-13 00:00:00,-8,-17.9,0.4
2025-02-14 00:00:00,1.7,-6.6,9.1
2025-02-15 00:00:00,-2.4,-6.9,0
2025-02-16 00:00:00,-3.7,-10,2.2
2025-02-17 00:00:00,-3.7,-7.5,1.3
2025-02-18 00:00:00,-9.3,-13.9,-5.4
2025-02-19 00:00:00,-10.8,-15.5,-5.3
2025-02-20 00:00:00,-7.6,-12.3,-3.4
2025-02-21 00:00:00,-1.6,-6.4,4.5
2025-02-22 00:00:00,2.7,-4.8,10.7
2025-02-23 00:00:00,7.1,-1.3,15.7
2025-02-24 00:00:00,9.9,3.6,16.5
2025-02-25 00:00:00,9.5,4.2,16.2
2025-02-26 00:00:00,3.1,-0.3,7.4
2025-02-27 00:00:00,5.2,-3.6,14.9
2025-02-28 00:00:00,7.9,0.4,16.1
2025-03-01 00:00:00,7.6,-0.5,15.6
2025-03-02 00:00:00,8.4,0.8,17.4
2025-03-03 00:00:00,7.6,3,13.7
2025-03-04 00:00:00,3.6,-1.1,6.3
2025-03-05 00:00:00,3.4,-3.7,10.4
2025-03-06 00:00:00,4.9,2.1,8.9
2025-03-07 00:00:00,0.3,-2,2.2
2025-03-08 00:00:00,2.2,-3.5,8.9
2025-03-09 00:00:00,7.4,-1.8,17.5
2025-03-10 00:00:00,10.7,1.6,19.6
2025-03-11 00:00:00,9.9,2.6,17.5
2025-03-12 00:00:00,10.2,4.7,16.7
2025-03-13 00:00:00,9.3,2.3,15
