Venmo/Zelle Payments,VZ,VISA VENMO,VENMO PAYMENT,ZELLE PAYMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle,VE,AUTO LEASE NISSAN,GARAGE DENVER CO,AIR CARE COLORADO,CO MOTOR VEHICLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilities,UT,XCELENERGY,DNVRWTR,CITY AND COUNTY,COMPOST CITY OF DENVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transfer to Savings,TS,TO SAVINGS XXX-XXX-5191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel & Accommodation,TA,DU - PARKING SERVICES, PARK IDAHO SPRINGS,AURARIA HIGHER EDUCATIO,CHERRY CREEK,WINTER PARK PARKING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US & CO Tax,TX,TURBOTAX,USATAXPYMT IRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscription,SU,LINKEDIN,ROKU,OPENAI,BASE44,CLAUDE.AI,WSJ,AMATYC,12 BROADWAY SELF ST,SPOTIFY,ANTHROPIC,IONOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salary,SA,FD_PAYROLL WESTERN UNION,PAYROLL COMMUNITY COLLEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restaurants,RS,CAFE TERRA COTTA,SNOASIS CAFETERIA, WOLF CREEK FOOD & BEVER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafe & Snacks,CS,HOYA INC,WOODY CREEK,ALTITUDE 2708905 IDAHO,NORDSTROM,BANH MI STATION,NIXONS COFFEE HOUSE,LITTLE CAFE,KALADI COFFEE ROAST,ZIGGIS COFFEE,QUEEN CITY | COLLEC,MARKET@WORK,HUCKLEBERRY ROASTER,DDC DISTRIBUTING,CANTEEN DENVER MAIN_50,365 VEND 5 TROY,ESPRESSOYOURSELF,CORVUS COFFEE ROAST,365 VEND TROY MI,DAZBOG COFFEE,STARBUCKS,LIL COFFEA SHOP,THE COOKERY AT MYRT,CANTEEN VENDING DEN,LITTLE MAN ICE CREA,OSAGE CAFE - DENVER,ESPRESSO YOURSELF LLC,BLUE SAUCER CAFE,DOUGH COUNTER,WOODS COFFEE,ATMOS CAFE,EDELWEISS PASTRY SH IDAHO,EMPIRE DAIRY KING,GREEN FRESH CAFE,TOUS LES JOURS,TENN STREET COFFEE,THE SOJOURNERS COFFEE,AROMAS FROZEN YOGURT,THE CLOUD STATION,NICET TO SEE YOU,UP TOP CAFÉ,HIGHER GROUNDS COFF,MILAGROS COFFEE HOUSE,DURANGO COFFEE COMP,COFFEE BEAR,COLORADO GIRL COFFE,THE LONG TABLE BUENA,ROSEBUD CAFE,DCS THUNDER CAFE,CANTEEN VENDING,COQUETRY MAISON,CAFE 402,MILKFLOAT,KAFFE ARE LODO,HEARTH DENVER,LAVENDER COFFEE,KOCHI CAFE, MOFFAT CAFETERIA,COFFEE AND TEA MARK
Hair & Beauty,HB,ULTA,SALLY BEAUTY,SEPHORA PARK,GREAT CLIPS,AVEDA INSTITUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lydia & Owen,LO,USSF LEARNING CENTER,PACSUN,IMAGETEKPHOTO,KEROSENE,VICTORIA'S SECRET,COLORADO MASTER CHESS,TRANSFER CAPITAL ONE,VARSITY YEARBOOK,UOFDENVERICEPRGMS,CO BATTLE ZONES,LITTLETON PUBLIC SCHOO,SP WHITE OAK,ZUMIEZ,ANDERSONBRA,DENVER CHRISTIAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Retail,GR,GENERAL STORE 45,POSHMARK,CO-HCO,AMERICAN EAGLE,SACRED HEART GIFTS,PRESTIGE ESTATE,WINDSOR FASHIONS,VANS LITTLETON,EBAY,KOHLS,WALMART,MARSHALLS,ETSY,WAL-MART,LOWE,AMAZON.COM,MY BEST FRIEND,IKEA,TARGET,WALGREENS STORE,FIVE BELOW,SPORTS PLUS,CAMPUS CYCLES,OFFICE DEPOT,PURE HOCKEY,DICKS SPORTING,BEAR VALLEY ARC THRIFT,HOME DEPOT,PUREHOCKEY,SOUTHPARK ARCTHRIFT,BARNESNOBLE,DICKS SPORTING GOODS,WM SUPERCENTER,"BEYOND, INC",GREAT DIVIDE COMPANY,COTTON ON,BONDIE S OLD TOWN ANTIQ,ACE DENVER,J CREW FACTORY,J.CREW FACTORY,,,,,,,,,,,,,,,,,,
Entertainment,EN,NEXTJUMP.COM,SSA - SEDGWICK COUNTY,AMC,IFLY DENVER,SEATTLE MONORAIL,SPACE NEEDLE,SPACE BASE,WEST PORTAL RENTAL,WP GUEST SERVICES,GOFANTIX,SEATGEEK,GREAT SAND,COLORADO GATORS,FIXR.CO,WOLF CREEK TICKETS,CITY OF OURAY,BLACK CANY OF GUNNISON,DREAMS ESCAPE,TATTERED COVER,ESCAPE DM,CHURCH NIGHTCLUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Withdrawals,MW,ATM,FEE FOR INTERNATIONAL TRANSACTION,CHECK #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Income,MI,ACH ITEMS WYZANT ACH,CASHOUT VENMO,INTEREST EARNED,MOBILE DEPOSIT,REDEEM GIFTLY,PAYMENTS ALPHASENSE,INTL PYMNT FRANCIS MR GUY EDWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortgage,MG,MTG PYMTS ROCKET MORTGAGE,LOAN ROCKET MORTGAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phone & Internet,PI,TMOBILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Health & Wellbeing,HW,KP CO,SOUTHEAST DENVER PEDIAT,ROCKY MOUNTAIN KIDS,YMCA,MOON SPA,THREE PEAKS URGENT CARE,BLACK SWAN YOGA,BARRE3,COE REC CENTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Improvement,HI,DENVERFENCEGUYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
