Month,1 EUR = X USD,1 GBP = X USD,1 USD = X SF,1 AUD = X USD,1 NZD = X USD
1/1/2021,1.2178,1.3641,0.8865,0.7726,0.72
2/1/2021,1.2094,1.3867,0.8979,0.7753,0.7245
3/1/2021,1.1902,1.3863,0.9298,0.771,0.7136
4/1/2021,1.1965,1.3845,0.9218,0.7701,0.7127
5/1/2021,1.2146,1.4084,0.9027,0.7763,0.7225
6/1/2021,1.2048,1.4025,0.9078,0.7643,0.7106
7/1/2021,1.1821,1.3808,0.9174,0.7417,0.6981
8/1/2021,1.1767,1.3797,0.9147,0.7304,0.6979
9/1/2021,1.1765,1.3732,0.9228,0.7312,0.7053
10/1/2021,1.16,1.3701,0.9227,0.7412,0.7064
11/1/2021,1.1416,1.3463,0.9213,0.7307,0.7019
12/1/2021,1.1301,1.3303,0.921,0.7155,0.6786
1/1/2022,1.1317,1.3555,0.9191,0.718,0.6742
2/1/2022,1.1349,1.354,0.9228,0.7169,0.6678
3/1/2022,1.1019,1.3168,0.9294,0.7374,0.6868
4/1/2022,1.0803,1.2933,0.945,0.7364,0.6755
5/1/2022,1.0567,1.2438,0.9804,0.7041,0.6393
6/1/2022,1.0567,1.232,0.9702,0.7025,0.6352
7/1/2022,1.0168,1.1987,0.9701,0.6856,0.6196
8/1/2022,1.0129,1.1983,0.9574,0.6961,0.6266
9/1/2022,0.9899,1.132,0.9733,0.6671,0.5918
10/1/2022,0.9853,1.1332,0.9949,0.637,0.5703
11/1/2022,1.0192,1.1727,0.966,0.6596,0.6061
12/1/2022,1.0591,1.218,0.9316,0.6748,0.6353
1/1/2023,1.0777,1.2237,0.9241,0.6955,0.6402
2/1/2023,1.0702,1.2084,0.9258,0.6893,0.6288
3/1/2023,1.0711,1.2138,0.9255,0.6676,0.6207
4/1/2023,1.0962,1.2446,0.8985,0.6688,0.621
5/1/2023,1.0867,1.2484,0.8977,0.6643,0.6214
6/1/2023,1.084,1.2627,0.9004,0.6713,0.6135
7/1/2023,1.1067,1.2893,0.8723,0.6742,0.6232
8/1/2023,1.091,1.2706,0.8783,0.6486,0.5996
9/1/2023,1.0672,1.2381,0.8996,0.6425,0.5931
10/1/2023,1.0565,1.2175,0.9035,0.6347,0.5894
11/1/2023,1.0819,1.2437,0.8902,0.6508,0.6005
12/1/2023,1.0909,1.2657,0.8648,0.6693,0.6223
1/1/2024,1.0899,1.2701,0.8591,0.6636,0.6168
2/1/2024,1.0793,1.263,0.8771,0.6522,0.6123
3/1/2024,1.087,1.2713,0.8886,0.6558,0.6081
4/1/2024,1.0724,1.2517,0.9099,0.6507,0.5957
5/1/2024,1.081,1.2636,0.9088,0.6626,0.6066
6/1/2024,1.0763,1.2716,0.8938,0.6642,0.6139
7/1/2024,1.0847,1.287,0.8917,0.6673,0.603
8/1/2024,1.102,1.2945,0.8579,0.6658,0.6088
9/1/2024,1.1104,1.3219,0.8472,0.677,0.6224
10/1/2024,1.0895,1.3043,0.8613,0.67,0.6076
11/1/2024,1.0621,1.2738,0.8809,0.6528,0.5908
12/1/2024,1.0472,1.2647,0.8916,0.6334,0.5748
1/1/2025,1.0356,1.2354,0.9096,0.6231,0.5633
2/1/2025,1.0413,1.2542,0.9034,0.6301,0.568
3/1/2025,1.0813,1.2913,0.8836,0.63,0.5727
4/1/2025,1.1232,1.3144,0.8337,0.6291,0.5837
5/1/2025,1.1274,1.3358,0.8299,0.6435,0.5936
6/1/2025,1.1534,1.3577,0.8132,0.6509,0.6036
7/1/2025,1.1671,1.3489,0.7989,0.6536,0.5992
8/1/2025,1.1647,1.3456,0.8058,0.6495,0.5903
9/1/2025,1.1739,1.3506,0.7961,0.6598,0.5884
10/1/2025,1.1641,1.3357,0.7975,0.6547,0.5765
11/1/2025,1.1558,1.3139,0.8037,0.6502,0.5652
12/1/2025,1.171,1.3387,0.7969,0.6643,0.5787
